epoch,train_loss,eval_loss,eval_top1,eval_top5
0,0.9005364304112496,0.4406523603074094,89.22141688099136,100.0
1,0.9339409977476173,0.49855369500866387,86.93009118541033,100.0
2,0.9531157428973189,0.5296532099342302,85.52723871872809,100.0
3,0.9793550064909123,0.6379519844824448,83.25929389759177,100.0
4,0.9682070842134618,0.5735085961248431,85.59738134206219,100.0
5,0.9638648561785155,0.5916310829733866,86.50923544540566,100.0
6,0.9561385968856723,0.5613635501656433,86.29880757540332,100.0
7,0.9548043552403138,0.5600273242642285,84.70890811316343,100.0
8,0.9498174710808513,0.5538856938868058,86.04161795651157,100.0
9,0.9445241022611333,0.4797792124196361,86.88332943652092,100.0
10,0.9418492927729526,0.5799205199089568,84.61538461538461,100.0
11,0.9384646695072406,0.4935047194197938,87.02361468318915,100.0
12,0.9327610710513926,0.5251816655253316,85.6675239653963,100.0
13,0.9270716988594733,0.4879500131504486,86.90671031096564,100.0
14,0.9236794234157722,0.553952788760346,85.87795183539865,100.0
