epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.2887745117333447,0.801868438386237,70.79728781856441,100.0
1,0.9397240878683384,0.5489071393113341,82.13701192424597,100.0
2,0.8016604439259689,0.4628494799011691,85.97147533317747,100.0
3,0.7418371882394096,0.4212432503978978,87.8185644143091,100.0
4,0.7129140673396743,0.40295466681019515,88.19265840542437,100.0
5,0.6877900698335371,0.4125296734665386,87.53799392097264,100.0
6,0.6751757413705933,0.3995263078989257,87.8419452887538,100.0
7,0.6595905217890428,0.38811986568182016,88.49660977320552,100.0
8,0.6529889011912257,0.4089772488738099,87.95884966097732,100.0
9,0.6426214668238275,0.3831543748501949,87.88870703764321,100.0
10,0.6316342243245829,0.38823245627762476,88.12251578209025,100.0
